_id;count;language
MDg6TGFuZ3VhZ2U3MzA=;464;{'_id': ObjectId('645c79f9cae6600fd980b93f'), 'id': 'MDg6TGFuZ3VhZ2U3MzA=', 'name': 'EditorConfig'}
MDg6TGFuZ3VhZ2U2Nzg=;435;{'_id': ObjectId('645c79f9cae6600fd980b941'), 'id': 'MDg6TGFuZ3VhZ2U2Nzg=', 'name': 'JSON with Comments'}
MDg6TGFuZ3VhZ2U0MDM=;391;{'_id': ObjectId('645c79fccae6600fd980b949'), 'id': 'MDg6TGFuZ3VhZ2U0MDM=', 'name': 'Makefile'}
MDg6TGFuZ3VhZ2U1MzU=;365;{'_id': ObjectId('645c79facae6600fd980b945'), 'id': 'MDg6TGFuZ3VhZ2U1MzU=', 'name': 'Dockerfile'}
MDg6TGFuZ3VhZ2UxNDE=;356;{'_id': ObjectId('645c7ad5cae6600fd980b969'), 'id': 'MDg6TGFuZ3VhZ2UxNDE=', 'name': 'Ruby'}
MDg6TGFuZ3VhZ2U2MTc=;349;{'_id': ObjectId('645c859e2eba3facb617fda9'), 'id': 'MDg6TGFuZ3VhZ2U2MTc=', 'name': 'TOML'}
MDg6TGFuZ3VhZ2UyODM=;331;{'_id': ObjectId('645c7ab4cae6600fd980b95f'), 'id': 'MDg6TGFuZ3VhZ2UyODM=', 'name': 'XML'}
MDg6TGFuZ3VhZ2U1NTg=;326;{'_id': ObjectId('645c7abbcae6600fd980b965'), 'id': 'MDg6TGFuZ3VhZ2U1NTg=', 'name': 'INI'}
MDg6TGFuZ3VhZ2U3MDQ=;324;{'_id': ObjectId('645c7ad5cae6600fd980b967'), 'id': 'MDg6TGFuZ3VhZ2U3MDQ=', 'name': 'Git Config'}
MDg6TGFuZ3VhZ2U0NjM=;260;{'_id': ObjectId('645c86a22eba3facb617fe05'), 'id': 'MDg6TGFuZ3VhZ2U0NjM=', 'name': 'Batchfile'}
MDg6TGFuZ3VhZ2UzMDg=;247;{'_id': ObjectId('645c8c392eba3facb617fe57'), 'id': 'MDg6TGFuZ3VhZ2UzMDg=', 'name': 'CSS'}
LAN_kgDNAyk;246;{'_id': ObjectId('645c85a02eba3facb617fdaf'), 'id': 'LAN_kgDNAyk', 'name': 'Gemfile.lock'}
LAN_kgDNA4I;214;{'_id': ObjectId('645c86992eba3facb617fdf3'), 'id': 'LAN_kgDNA4I', 'name': 'Dotenv'}
LAN_kgDNAzE;165;{'_id': ObjectId('645c86032eba3facb617fdbf'), 'id': 'LAN_kgDNAzE', 'name': 'Procfile'}
MDg6TGFuZ3VhZ2U2MzQ=;165;{'_id': ObjectId('645c86922eba3facb617fdea'), 'id': 'MDg6TGFuZ3VhZ2U2MzQ=', 'name': 'reStructuredText'}
MDg6TGFuZ3VhZ2U1NDc=;153;{'_id': ObjectId('645c86b72eba3facb617fe09'), 'id': 'MDg6TGFuZ3VhZ2U1NDc=', 'name': 'Gradle'}
MDg6TGFuZ3VhZ2UyODc=;146;{'_id': ObjectId('645c86532eba3facb617fdca'), 'id': 'MDg6TGFuZ3VhZ2UyODc=', 'name': 'TypeScript'}
MDg6TGFuZ3VhZ2U3OTQ=;127;{'_id': ObjectId('645c7ab4cae6600fd980b95d'), 'id': 'MDg6TGFuZ3VhZ2U3OTQ=', 'name': 'Microsoft Visual Studio Solution'}
MDg6TGFuZ3VhZ2U0NDA=;126;{'_id': ObjectId('645c8c7c2eba3facb617fe86'), 'id': 'MDg6TGFuZ3VhZ2U0NDA=', 'name': 'CMake'}
MDg6TGFuZ3VhZ2U2OTA=;125;{'_id': ObjectId('645c7a97cae6600fd980b955'), 'id': 'MDg6TGFuZ3VhZ2U2OTA=', 'name': 'Java Properties'}
MDg6TGFuZ3VhZ2UxNTE=;121;{'_id': ObjectId('645c8c822eba3facb617fe8d'), 'id': 'MDg6TGFuZ3VhZ2UxNTE=', 'name': 'PHP'}
MDg6TGFuZ3VhZ2U2MDg=;118;{'_id': ObjectId('645c86142eba3facb617fdc3'), 'id': 'MDg6TGFuZ3VhZ2U2MDg=', 'name': 'SVG'}
MDg6TGFuZ3VhZ2UxOTA=;117;{'_id': ObjectId('645c7a4ccae6600fd980b94f'), 'id': 'MDg6TGFuZ3VhZ2UxOTA=', 'name': 'Go'}
MDg6TGFuZ3VhZ2U3OTY=;106;{'_id': ObjectId('645c86152eba3facb617fdc5'), 'id': 'MDg6TGFuZ3VhZ2U3OTY=', 'name': 'CODEOWNERS'}
LAN_kgDNAys;104;{'_id': ObjectId('645c87282eba3facb617fe17'), 'id': 'LAN_kgDNAys', 'name': 'Go Module'}
MDg6TGFuZ3VhZ2UxNDk=;100;{'_id': ObjectId('645c7ab4cae6600fd980b963'), 'id': 'MDg6TGFuZ3VhZ2UxNDk=', 'name': 'C'}
MDg6TGFuZ3VhZ2U3MzQ=;99;{'_id': ObjectId('645c911e2eba3facb617ff17'), 'id': 'MDg6TGFuZ3VhZ2U3MzQ=', 'name': 'NPM Config'}
LAN_kgDNAyo;98;{'_id': ObjectId('645c87282eba3facb617fe19'), 'id': 'LAN_kgDNAyo', 'name': 'Go Checksums'}
MDg6TGFuZ3VhZ2U1ODI=;91;{'_id': ObjectId('645c869b2eba3facb617fdfe'), 'id': 'MDg6TGFuZ3VhZ2U1ODI=', 'name': 'Maven POM'}
MDg6TGFuZ3VhZ2UxNDI=;85;{'_id': ObjectId('645c86872eba3facb617fde1'), 'id': 'MDg6TGFuZ3VhZ2UxNDI=', 'name': 'C++'}
MDg6TGFuZ3VhZ2UzNzk=;75;{'_id': ObjectId('645c87022eba3facb617fe0d'), 'id': 'MDg6TGFuZ3VhZ2UzNzk=', 'name': 'Nix'}
MDg6TGFuZ3VhZ2UyNDk=;73;{'_id': ObjectId('645c859f2eba3facb617fdac'), 'id': 'MDg6TGFuZ3VhZ2UyNDk=', 'name': 'Rust'}
MDg6TGFuZ3VhZ2UxNzU=;70;{'_id': ObjectId('645c8b552eba3facb617fe4c'), 'id': 'MDg6TGFuZ3VhZ2UxNzU=', 'name': 'Groovy'}
MDg6TGFuZ3VhZ2U1ODA=;70;{'_id': ObjectId('645c79fccae6600fd980b94d'), 'id': 'MDg6TGFuZ3VhZ2U1ODA=', 'name': 'M4Sugar'}
MDg6TGFuZ3VhZ2U3OTU=;69;{'_id': ObjectId('645c7aa3cae6600fd980b95b'), 'id': 'MDg6TGFuZ3VhZ2U3OTU=', 'name': 'robots.txt'}
MDg6TGFuZ3VhZ2U3ODU=;68;{'_id': ObjectId('645c86842eba3facb617fdde'), 'id': 'MDg6TGFuZ3VhZ2U3ODU=', 'name': 'Browserslist'}
MDg6TGFuZ3VhZ2UyNjQ=;62;{'_id': ObjectId('645c8c472eba3facb617fe63'), 'id': 'MDg6TGFuZ3VhZ2UyNjQ=', 'name': 'PowerShell'}
MDg6TGFuZ3VhZ2U1Mjg=;59;{'_id': ObjectId('645cc72f2eba3facb618030e'), 'id': 'MDg6TGFuZ3VhZ2U1Mjg=', 'name': 'CSV'}
MDg6TGFuZ3VhZ2UxNDc=;49;{'_id': ObjectId('645c7ab4cae6600fd980b961'), 'id': 'MDg6TGFuZ3VhZ2UxNDc=', 'name': 'Perl'}
MDg6TGFuZ3VhZ2UzNjc=;48;{'_id': ObjectId('645c8f922eba3facb617fee3'), 'id': 'MDg6TGFuZ3VhZ2UzNjc=', 'name': 'SQL'}
MDg6TGFuZ3VhZ2UxNTI=;46;{'_id': ObjectId('645c8f8e2eba3facb617fedc'), 'id': 'MDg6TGFuZ3VhZ2UxNTI=', 'name': 'Emacs Lisp'}
LAN_kgDNA2A;45;{'_id': ObjectId('645c86922eba3facb617fde5'), 'id': 'LAN_kgDNA2A', 'name': 'Git Revision List'}
MDg6TGFuZ3VhZ2UyMzI=;41;{'_id': ObjectId('645c88032eba3facb617fe35'), 'id': 'MDg6TGFuZ3VhZ2UyMzI=', 'name': 'C#'}
MDg6TGFuZ3VhZ2UxNjQ=;41;{'_id': ObjectId('645c9c5e2eba3facb617ff8e'), 'id': 'MDg6TGFuZ3VhZ2UxNjQ=', 'name': 'Lua'}
MDg6TGFuZ3VhZ2U1MjI=;40;{'_id': ObjectId('645cb6002eba3facb618019e'), 'id': 'MDg6TGFuZ3VhZ2U1MjI=', 'name': 'AsciiDoc'}
MDg6TGFuZ3VhZ2UzMTQ=;39;{'_id': ObjectId('645ca9322eba3facb61800ce'), 'id': 'MDg6TGFuZ3VhZ2UzMTQ=', 'name': 'RDoc'}
MDg6TGFuZ3VhZ2U3MDM=;36;{'_id': ObjectId('645c87212eba3facb617fe15'), 'id': 'MDg6TGFuZ3VhZ2U3MDM=', 'name': 'Roff Manpage'}
MDg6TGFuZ3VhZ2UxNjc=;34;{'_id': ObjectId('645c8c542eba3facb617fe6a'), 'id': 'MDg6TGFuZ3VhZ2UxNjc=', 'name': 'Haskell'}
MDg6TGFuZ3VhZ2U0MTg=;34;{'_id': ObjectId('645d2025f6f82148bbf553cb'), 'id': 'MDg6TGFuZ3VhZ2U0MTg=', 'name': 'ApacheConf'}
MDg6TGFuZ3VhZ2UzMTg=;34;{'_id': ObjectId('645cf0aa41954bb7da300c26'), 'id': 'MDg6TGFuZ3VhZ2UzMTg=', 'name': 'TeX'}
MDg6TGFuZ3VhZ2U2MzE=;34;{'_id': ObjectId('645c869a2eba3facb617fdfb'), 'id': 'MDg6TGFuZ3VhZ2U2MzE=', 'name': 'desktop'}
MDg6TGFuZ3VhZ2U0ODk=;34;{'_id': ObjectId('645ca25a2eba3facb617ffcb'), 'id': 'MDg6TGFuZ3VhZ2U0ODk=', 'name': 'Jupyter Notebook'}
MDg6TGFuZ3VhZ2U3NDM=;34;{'_id': ObjectId('645c8c332eba3facb617fe55'), 'id': 'MDg6TGFuZ3VhZ2U3NDM=', 'name': 'XML Property List'}
MDg6TGFuZ3VhZ2UxOTU=;34;{'_id': ObjectId('645c9c682eba3facb617ff91'), 'id': 'MDg6TGFuZ3VhZ2UxOTU=', 'name': 'CoffeeScript'}
MDg6TGFuZ3VhZ2U1MjA=;33;{'_id': ObjectId('645c7a98cae6600fd980b957'), 'id': 'MDg6TGFuZ3VhZ2U1MjA=', 'name': 'Ant Build System'}
MDg6TGFuZ3VhZ2U3MDA=;32;{'_id': ObjectId('645c8c542eba3facb617fe6c'), 'id': 'MDg6TGFuZ3VhZ2U3MDA=', 'name': 'Cabal Config'}
MDg6TGFuZ3VhZ2U1OTE=;29;{'_id': ObjectId('645c92952eba3facb617ff61'), 'id': 'MDg6TGFuZ3VhZ2U1OTE=', 'name': 'Org'}
MDg6TGFuZ3VhZ2U1Njk=;29;{'_id': ObjectId('645cf32541954bb7da300cb9'), 'id': 'MDg6TGFuZ3VhZ2U1Njk=', 'name': 'Vim Script'}
MDg6TGFuZ3VhZ2U2Mzc=;25;{'_id': ObjectId('645c915e2eba3facb617ff32'), 'id': 'MDg6TGFuZ3VhZ2U2Mzc=', 'name': 'Meson'}
MDg6TGFuZ3VhZ2UyNzI=;25;{'_id': ObjectId('645c86a12eba3facb617fe03'), 'id': 'MDg6TGFuZ3VhZ2UyNzI=', 'name': 'Kotlin'}
MDg6TGFuZ3VhZ2U0Nzk=;24;{'_id': ObjectId('645d1a7af6f82148bbf552e3'), 'id': 'MDg6TGFuZ3VhZ2U0Nzk=', 'name': 'HCL'}
MDg6TGFuZ3VhZ2U0MDA=;24;{'_id': ObjectId('645ca19d2eba3facb617ffaa'), 'id': 'MDg6TGFuZ3VhZ2U0MDA=', 'name': 'Hack'}
MDg6TGFuZ3VhZ2U0MzM=;24;{'_id': ObjectId('645c7a98cae6600fd980b959'), 'id': 'MDg6TGFuZ3VhZ2U0MzM=', 'name': 'Diff'}
MDg6TGFuZ3VhZ2UxODA=;23;{'_id': ObjectId('645c8c5e2eba3facb617fe6f'), 'id': 'MDg6TGFuZ3VhZ2UxODA=', 'name': 'Clojure'}
MDg6TGFuZ3VhZ2UxNTg=;23;{'_id': ObjectId('645ca4b32eba3facb6180027'), 'id': 'MDg6TGFuZ3VhZ2UxNTg=', 'name': 'Java'}
MDg6TGFuZ3VhZ2U3NDY=;22;{'_id': ObjectId('645d5c00f6f82148bbf5573e'), 'id': 'MDg6TGFuZ3VhZ2U3NDY=', 'name': 'Starlark'}
LAN_kgDNA00;21;{'_id': ObjectId('645c911f2eba3facb617ff1c'), 'id': 'LAN_kgDNA00', 'name': 'Redirect Rules'}
MDg6TGFuZ3VhZ2UyNjM=;21;{'_id': ObjectId('645cf23241954bb7da300c96'), 'id': 'MDg6TGFuZ3VhZ2UyNjM=', 'name': 'Elixir'}
MDg6TGFuZ3VhZ2U1Njg=;21;{'_id': ObjectId('645cacaa2eba3facb618012c'), 'id': 'MDg6TGFuZ3VhZ2U1Njg=', 'name': 'Roff'}
MDg6TGFuZ3VhZ2U2MDU=;20;{'_id': ObjectId('645caf152eba3facb6180162'), 'id': 'MDg6TGFuZ3VhZ2U2MDU=', 'name': 'SCSS'}
MDg6TGFuZ3VhZ2U2MjA=;19;{'_id': ObjectId('645d7399f6f82148bbf5584d'), 'id': 'MDg6TGFuZ3VhZ2U2MjA=', 'name': 'Textile'}
MDg6TGFuZ3VhZ2U0MzU=;18;{'_id': ObjectId('645c87e22eba3facb617fe26'), 'id': 'MDg6TGFuZ3VhZ2U0MzU=', 'name': 'QMake'}
MDg6TGFuZ3VhZ2UzNzE=;17;{'_id': ObjectId('645d12f0f6f82148bbf551fe'), 'id': 'MDg6TGFuZ3VhZ2UzNzE=', 'name': 'Swift'}
MDg6TGFuZ3VhZ2U2MDE=;17;{'_id': ObjectId('645c8e892eba3facb617fec7'), 'id': 'MDg6TGFuZ3VhZ2U2MDE=', 'name': 'RMarkdown'}
MDg6TGFuZ3VhZ2U3Mjg=;17;{'_id': ObjectId('645cf0aa41954bb7da300c24'), 'id': 'MDg6TGFuZ3VhZ2U3Mjg=', 'name': 'BibTeX'}
MDg6TGFuZ3VhZ2U2MDI=;17;{'_id': ObjectId('645d1a7af6f82148bbf552e5'), 'id': 'MDg6TGFuZ3VhZ2U2MDI=', 'name': 'RPM Spec'}
MDg6TGFuZ3VhZ2U0MjE=;16;{'_id': ObjectId('645c8b9c2eba3facb617fe52'), 'id': 'MDg6TGFuZ3VhZ2U0MjE=', 'name': 'Nginx'}
MDg6TGFuZ3VhZ2U1OTc=;15;{'_id': ObjectId('645cbea42eba3facb618026f'), 'id': 'MDg6TGFuZ3VhZ2U1OTc=', 'name': 'Public Key'}
MDg6TGFuZ3VhZ2UxODU=;15;{'_id': ObjectId('645c8e892eba3facb617fec9'), 'id': 'MDg6TGFuZ3VhZ2UxODU=', 'name': 'R'}
LAN_kgDNA2w;15;{'_id': ObjectId('645d8a05f6f82148bbf55c69'), 'id': 'LAN_kgDNA2w', 'name': 'Just'}
MDg6TGFuZ3VhZ2UxNjk=;13;{'_id': ObjectId('645d76b7f6f82148bbf55903'), 'id': 'MDg6TGFuZ3VhZ2UxNjk=', 'name': 'Scala'}
MDg6TGFuZ3VhZ2U1NzU=;13;{'_id': ObjectId('645d303cf6f82148bbf55537'), 'id': 'MDg6TGFuZ3VhZ2U1NzU=', 'name': 'Linker Script'}
MDg6TGFuZ3VhZ2U1NjI=;13;{'_id': ObjectId('645cb13e2eba3facb618018d'), 'id': 'MDg6TGFuZ3VhZ2U1NjI=', 'name': 'JSON5'}
MDg6TGFuZ3VhZ2U1NTQ=;13;{'_id': ObjectId('645c8b6f2eba3facb617fe50'), 'id': 'MDg6TGFuZ3VhZ2U1NTQ=', 'name': 'HTML+ERB'}
MDg6TGFuZ3VhZ2U0MTk=;12;{'_id': ObjectId('645d55bbf6f82148bbf55616'), 'id': 'MDg6TGFuZ3VhZ2U0MTk=', 'name': 'Handlebars'}
MDg6TGFuZ3VhZ2U2MzM=;11;{'_id': ObjectId('645cc1952eba3facb61802f3'), 'id': 'MDg6TGFuZ3VhZ2U2MzM=', 'name': 'fish'}
MDg6TGFuZ3VhZ2U1NDk=;11;{'_id': ObjectId('645d3f2df6f82148bbf555c9'), 'id': 'MDg6TGFuZ3VhZ2U1NDk=', 'name': 'GraphQL'}
LAN_kgDNA3o;11;{'_id': ObjectId('645cc9d22eba3facb6180314'), 'id': 'LAN_kgDNA3o', 'name': 'Option List'}
MDg6TGFuZ3VhZ2UyMzY=;10;{'_id': ObjectId('645ca4332eba3facb6180012'), 'id': 'MDg6TGFuZ3VhZ2UyMzY=', 'name': 'Assembly'}
MDg6TGFuZ3VhZ2U1NjU=;9;{'_id': ObjectId('645ca2212eba3facb617ffba'), 'id': 'MDg6TGFuZ3VhZ2U1NjU=', 'name': 'Pug'}
MDg6TGFuZ3VhZ2UxODY=;9;{'_id': ObjectId('645d2fb7f6f82148bbf55506'), 'id': 'MDg6TGFuZ3VhZ2UxODY=', 'name': 'D'}
LAN_kgDNA4Q;9;{'_id': ObjectId('645cbed92eba3facb6180291'), 'id': 'LAN_kgDNA4Q', 'name': 'Godot Resource'}
MDg6TGFuZ3VhZ2U1NDM=;9;{'_id': ObjectId('645d73c8f6f82148bbf55862'), 'id': 'MDg6TGFuZ3VhZ2U1NDM=', 'name': 'Unix Assembly'}
MDg6TGFuZ3VhZ2U0Mzg=;8;{'_id': ObjectId('645ca5922eba3facb618006c'), 'id': 'MDg6TGFuZ3VhZ2U0Mzg=', 'name': 'NSIS'}
MDg6TGFuZ3VhZ2U2MzI=;8;{'_id': ObjectId('645e95f6ba1370123db3fc1c'), 'id': 'MDg6TGFuZ3VhZ2U2MzI=', 'name': 'edn'}
MDg6TGFuZ3VhZ2U1MDY=;8;{'_id': ObjectId('645d3026f6f82148bbf55531'), 'id': 'MDg6TGFuZ3VhZ2U1MDY=', 'name': 'GDB'}
MDg6TGFuZ3VhZ2U3MTY=;7;{'_id': ObjectId('645c91be2eba3facb617ff3c'), 'id': 'MDg6TGFuZ3VhZ2U3MTY=', 'name': 'TSX'}
LAN_kgDNA08;7;{'_id': ObjectId('645d25d5f6f82148bbf55404'), 'id': 'LAN_kgDNA08', 'name': 'TextMate Properties'}
MDg6TGFuZ3VhZ2U3ODI=;7;{'_id': ObjectId('645dacf6f6f82148bbf55f73'), 'id': 'MDg6TGFuZ3VhZ2U3ODI=', 'name': 'TSV'}
MDg6TGFuZ3VhZ2UzMDI=;7;{'_id': ObjectId('645d2fa7f6f82148bbf55503'), 'id': 'MDg6TGFuZ3VhZ2UzMDI=', 'name': 'XSLT'}
MDg6TGFuZ3VhZ2U1NDQ=;7;{'_id': ObjectId('645df3a5f6f82148bbf56505'), 'id': 'MDg6TGFuZ3VhZ2U1NDQ=', 'name': 'GN'}
MDg6TGFuZ3VhZ2U0NjU=;7;{'_id': ObjectId('645d9929f6f82148bbf55e7c'), 'id': 'MDg6TGFuZ3VhZ2U0NjU=', 'name': 'DIGITAL Command Language'}
MDg6TGFuZ3VhZ2UyODQ=;7;{'_id': ObjectId('645d9338f6f82148bbf55d80'), 'id': 'MDg6TGFuZ3VhZ2UyODQ=', 'name': 'Awk'}
LAN_kgDNA14;7;{'_id': ObjectId('645cac4f2eba3facb618010b'), 'id': 'LAN_kgDNA14', 'name': 'Checksums'}
MDg6TGFuZ3VhZ2U1NzQ=;7;{'_id': ObjectId('645ca4942eba3facb618001a'), 'id': 'MDg6TGFuZ3VhZ2U1NzQ=', 'name': 'Less'}
MDg6TGFuZ3VhZ2U3ODQ=;7;{'_id': ObjectId('645d75e8f6f82148bbf558df'), 'id': 'MDg6TGFuZ3VhZ2U3ODQ=', 'name': 'NEON'}
MDg6TGFuZ3VhZ2U3Nzc=;7;{'_id': ObjectId('645d1a52f6f82148bbf552c9'), 'id': 'MDg6TGFuZ3VhZ2U3Nzc=', 'name': 'Nunjucks'}
LAN_kgDNAzA;6;{'_id': ObjectId('645cc69e2eba3facb618030a'), 'id': 'LAN_kgDNAzA', 'name': 'ShellCheck Config'}
MDg6TGFuZ3VhZ2U2OTQ=;6;{'_id': ObjectId('645c86612eba3facb617fdd6'), 'id': 'MDg6TGFuZ3VhZ2U2OTQ=', 'name': 'Zig'}
MDg6TGFuZ3VhZ2U2OTU=;6;{'_id': ObjectId('645c88492eba3facb617fe44'), 'id': 'MDg6TGFuZ3VhZ2U2OTU=', 'name': 'Rich Text Format'}
MDg6TGFuZ3VhZ2U0NzM=;6;{'_id': ObjectId('645cc5202eba3facb6180305'), 'id': 'MDg6TGFuZ3VhZ2U0NzM=', 'name': 'Yacc'}
MDg6TGFuZ3VhZ2UxOTQ=;6;{'_id': ObjectId('645cbcb82eba3facb6180221'), 'id': 'MDg6TGFuZ3VhZ2UxOTQ=', 'name': 'Haxe'}
MDg6TGFuZ3VhZ2UxNTY=;6;{'_id': ObjectId('645d1340f6f82148bbf55206'), 'id': 'MDg6TGFuZ3VhZ2UxNTY=', 'name': 'Objective-C'}
MDg6TGFuZ3VhZ2UyNjA=;6;{'_id': ObjectId('645d1cf0f6f82148bbf55352'), 'id': 'MDg6TGFuZ3VhZ2UyNjA=', 'name': 'Nim'}
LAN_kgDNA3k;6;{'_id': ObjectId('645e6938ba1370123db3f8ea'), 'id': 'LAN_kgDNA3k', 'name': 'OASv3-yaml'}
MDg6TGFuZ3VhZ2UxNjE=;6;{'_id': ObjectId('645dd71ef6f82148bbf5622d'), 'id': 'MDg6TGFuZ3VhZ2UxNjE=', 'name': 'Common Lisp'}
MDg6TGFuZ3VhZ2U2MjQ=;6;{'_id': ObjectId('645d2418f6f82148bbf553f0'), 'id': 'MDg6TGFuZ3VhZ2U2MjQ=', 'name': 'Unity3D Asset'}
MDg6TGFuZ3VhZ2U0NTc=;6;{'_id': ObjectId('645cb90f2eba3facb61801f7'), 'id': 'MDg6TGFuZ3VhZ2U0NTc=', 'name': 'AMPL'}
MDg6TGFuZ3VhZ2U2MTg=;6;{'_id': ObjectId('645d2f1df6f82148bbf554d3'), 'id': 'MDg6TGFuZ3VhZ2U2MTg=', 'name': 'Tcsh'}
MDg6TGFuZ3VhZ2U0MzE=;6;{'_id': ObjectId('645c993c2eba3facb617ff7b'), 'id': 'MDg6TGFuZ3VhZ2U0MzE=', 'name': 'Smarty'}
MDg6TGFuZ3VhZ2U0MjQ=;5;{'_id': ObjectId('645da94ef6f82148bbf55f1a'), 'id': 'MDg6TGFuZ3VhZ2U0MjQ=', 'name': 'Protocol Buffer'}
MDg6TGFuZ3VhZ2U0NTA=;5;{'_id': ObjectId('645e96eeba1370123db3fc3d'), 'id': 'MDg6TGFuZ3VhZ2U0NTA=', 'name': 'PLpgSQL'}
MDg6TGFuZ3VhZ2UxNDQ=;5;{'_id': ObjectId('645c92262eba3facb617ff59'), 'id': 'MDg6TGFuZ3VhZ2UxNDQ=', 'name': 'Scheme'}
MDg6TGFuZ3VhZ2UyNzM=;5;{'_id': ObjectId('645ca2252eba3facb617ffc3'), 'id': 'MDg6TGFuZ3VhZ2UyNzM=', 'name': 'Julia'}
MDg6TGFuZ3VhZ2UxNTM=;5;{'_id': ObjectId('645d99c9f6f82148bbf55e83'), 'id': 'MDg6TGFuZ3VhZ2UxNTM=', 'name': 'Erlang'}
MDg6TGFuZ3VhZ2U0NzQ=;5;{'_id': ObjectId('645cc5202eba3facb6180303'), 'id': 'MDg6TGFuZ3VhZ2U0NzQ=', 'name': 'Lex'}
MDg6TGFuZ3VhZ2U1Mzg=;5;{'_id': ObjectId('645d1f85f6f82148bbf553c7'), 'id': 'MDg6TGFuZ3VhZ2U1Mzg=', 'name': 'EJS'}
MDg6TGFuZ3VhZ2UzMDA=;5;{'_id': ObjectId('645e8a66ba1370123db3fb06'), 'id': 'MDg6TGFuZ3VhZ2UzMDA=', 'name': 'Graphviz (DOT)'}
MDg6TGFuZ3VhZ2UzNDc=;4;{'_id': ObjectId('645d9755f6f82148bbf55e15'), 'id': 'MDg6TGFuZ3VhZ2UzNDc=', 'name': 'GAP'}
MDg6TGFuZ3VhZ2UyNTU=;4;{'_id': ObjectId('645e5ec4ba1370123db3f861'), 'id': 'MDg6TGFuZ3VhZ2UyNTU=', 'name': 'Standard ML'}
MDg6TGFuZ3VhZ2U2NzI=;4;{'_id': ObjectId('645d565ff6f82148bbf5563b'), 'id': 'MDg6TGFuZ3VhZ2U2NzI=', 'name': 'HXML'}
MDg6TGFuZ3VhZ2U0NjY=;4;{'_id': ObjectId('645dd7e6f6f82148bbf5623b'), 'id': 'MDg6TGFuZ3VhZ2U0NjY=', 'name': 'API Blueprint'}
MDg6TGFuZ3VhZ2U3MTU=;4;{'_id': ObjectId('645cac4f2eba3facb6180109'), 'id': 'MDg6TGFuZ3VhZ2U3MTU=', 'name': 'Motorola 68K Assembly'}
MDg6TGFuZ3VhZ2U1NzY=;4;{'_id': ObjectId('64618f65ca0efcf2a2c0b167'), 'id': 'MDg6TGFuZ3VhZ2U1NzY=', 'name': 'Linux Kernel Module'}
MDg6TGFuZ3VhZ2UzMDE=;4;{'_id': ObjectId('645d76def6f82148bbf5591b'), 'id': 'MDg6TGFuZ3VhZ2UzMDE=', 'name': 'Processing'}
MDg6TGFuZ3VhZ2U2MjY=;4;{'_id': ObjectId('645d16faf6f82148bbf552a7'), 'id': 'MDg6TGFuZ3VhZ2U2MjY=', 'name': 'Wavefront Object'}
MDg6TGFuZ3VhZ2U1ODU=;4;{'_id': ObjectId('645dded2f6f82148bbf562ac'), 'id': 'MDg6TGFuZ3VhZ2U1ODU=', 'name': 'Ninja'}
MDg6TGFuZ3VhZ2UyNzc=;4;{'_id': ObjectId('645d26def6f82148bbf55427'), 'id': 'MDg6TGFuZ3VhZ2UyNzc=', 'name': 'Dart'}
MDg6TGFuZ3VhZ2U3Mzc=;4;{'_id': ObjectId('645d23a7f6f82148bbf553de'), 'id': 'MDg6TGFuZ3VhZ2U3Mzc=', 'name': 'Proguard'}
